MEAS_DT,BURST_ID,VIB-TOP,VIB-BOT,CUR-MTR
2024-01-15 20:44:34.846,B24-00012,0.004799,-0.112456,-9.006025
2024-01-15 20:44:34.946,B24-00012,-0.04201,-0.084414,-92.034351
2024-01-15 20:44:35.046,B24-00012,-0.003489,0.036692,-150.57577
2024-01-15 20:44:35.146,B24-00012,0.039994,0.174112,-201.11933
2024-01-15 20:44:35.246,B24-00012,0.088575,0.047602,-225.2163
2024-01-15 20:44:35.346,B24-00012,0.109454,-0.076296,-192.57011
2024-01-15 20:44:35.446,B24-00012,-0.077432,-0.122583,-150.48243
2024-01-15 20:44:35.546,B24-00012,-0.077058,-0.058857,-86.144577
2024-01-15 20:44:35.646,B24-00012,0.018968,0.16084,-16.723873
2024-01-15 20:44:35.746,B24-00012,-0.003829,0.160454,62.582262
2024-01-15 20:44:35.846,B24-00012,0.082047,-0.026682,130.86523
2024-01-15 20:44:35.946,B24-00012,0.074156,-0.138217,180.06816
2024-01-15 20:44:36.046,B24-00012,-0.078023,-0.157812,222.43467
2024-01-15 20:44:36.146,B24-00012,-0.0306,0.007571,204.99303
2024-01-15 20:44:36.246,B24-00012,0.084522,0.222806,165.86234
2024-01-15 20:44:36.346,B24-00012,-0.034767,0.085295,111.13132
2024-01-15 20:44:36.446,B24-00012,-0.038797,-0.101432,42.462235
2024-01-15 20:44:36.546,B24-00012,0.033307,-0.100274,-30.957226
2024-01-15 20:44:36.646,B24-00012,-0.131065,-0.118019,-108.53936
2024-01-15 20:44:36.746,B24-00012,-0.005941,0.100418,-158.64148
2024-01-15 20:44:36.846,B24-00012,0.181888,0.207604,-208.85303
2024-01-15 20:44:36.946,B24-00012,-0.016409,-0.07247,-212.85274
2024-01-15 20:44:37.046,B24-00012,-0.00249,-0.140907,-176.06761
2024-01-15 20:44:37.146,B24-00012,-0.019962,-0.085106,-131.09769
2024-01-15 20:44:37.246,B24-00012,-0.184255,-0.026818,-63.723929
2024-01-15 20:44:37.346,B24-00012,0.001359,0.205322,4.550577
2024-01-15 20:44:37.446,B24-00012,0.058954,0.129516,84.928284
2024-01-15 20:44:37.546,B24-00012,0.0189,-0.11828,141.39046
2024-01-15 20:44:37.646,B24-00012,0.043548,-0.13791,191.56995
2024-01-16 09:32:15.759,B24-00013,-0.106267,-0.064464,-98.774445
2024-01-16 09:32:15.859,B24-00013,-0.073036,-0.008628,-78.684101
2024-01-16 09:32:15.959,B24-00013,-0.023252,0.02978,-44.205194
2024-01-16 09:32:16.059,B24-00013,-0.005076,0.010161,-3.250003
2024-01-16 09:32:16.159,B24-00013,-0.025444,-0.111375,41.055565
2024-01-16 09:32:16.259,B24-00013,-0.017167,-0.053576,92.387687
2024-01-16 09:32:16.359,B24-00013,-0.015044,0.105835,107.01062
2024-01-16 09:32:16.459,B24-00013,-0.020562,0.012773,111.26949
2024-01-16 09:32:16.559,B24-00013,-0.013103,-0.045004,106.29488
2024-01-16 09:32:16.659,B24-00013,-0.039419,0.001987,87.759386
2024-01-16 09:32:16.759,B24-00013,-0.008573,-0.04648,60.136564
2024-01-16 09:32:16.859,B24-00013,0.038612,-0.039078,18.228175
2024-01-16 09:32:16.959,B24-00013,-0.003668,0.016145,-22.122267
2024-01-16 09:32:17.059,B24-00013,0.024329,0.037364,-76.167831
2024-01-16 09:32:17.159,B24-00013,0.016927,0.02626,-104.02824
2024-01-16 09:32:17.259,B24-00013,-0.08632,-0.045912,-108.1822
2024-01-16 09:32:17.359,B24-00013,-0.024354,-0.024784,-109.3321
2024-01-16 09:32:17.459,B24-00013,0.031516,0.102645,-92.924368
2024-01-16 09:32:17.559,B24-00013,0.070446,0.061558,-70.505031
2024-01-16 09:32:17.659,B24-00013,0.105426,-0.010683,-31.300906
2024-01-16 09:32:17.759,B24-00013,0.023693,-0.016734,7.703186
2024-01-16 09:32:17.859,B24-00013,0.025646,-0.091587,58.394081
2024-01-16 09:32:17.959,B24-00013,0.025839,-0.011637,100.38651
2024-01-16 09:32:18.059,B24-00013,0.014792,0.073865,107.60678
2024-01-16 09:32:18.159,B24-00013,0.083775,-0.035365,112.1384
2024-01-16 09:32:18.259,B24-00013,0.058695,0.003577,100.92021
2024-01-16 09:32:18.359,B24-00013,0.021014,0.067734,81.593881
2024-01-16 09:32:18.459,B24-00013,0.031902,-0.017007,48.030621
2024-01-16 09:32:18.559,B24-00013,-0.035196,0.022775,7.442356
2024-01-16 09:32:18.659,B24-00013,0.001838,0.037716,-37.772064
2024-01-16 09:32:18.759,B24-00013,0.100521,-0.009854,-89.03874
2024-01-16 09:32:18.859,B24-00013,0.074125,0.049955,-104.59377
2024-01-16 09:32:18.959,B24-00013,0.052644,-0.00344,-110.03257
2024-01-16 09:32:19.059,B24-00013,-0.00679,-0.031494,-105.6415
2024-01-16 09:32:19.159,B24-00013,-0.052305,0.077838,-87.689529
2024-01-16 09:32:19.259,B24-00013,0.000238,0.045504,-60.665853
2024-01-16 09:32:19.359,B24-00013,0.012953,0.008572,-19.644263
2024-01-16 09:32:19.459,B24-00013,-0.000251,0.005302,20.891192
2024-01-16 09:32:19.559,B24-00013,-0.006359,-0.080256,75.19401
2024-01-16 09:32:19.659,B24-00013,-0.016781,-0.034866,103.84108
2024-01-16 09:32:19.759,B24-00013,-0.014045,0.050477,108.91045
2024-01-16 09:32:19.859,B24-00013,-0.00922,0.044982,110.61264
2024-01-16 09:32:19.959,B24-00013,-0.028475,0.048433,95.317137
2024-01-16 09:32:20.059,B24-00013,-0.057346,-0.040667,73.770174
2024-01-16 09:32:20.159,B24-00013,-0.061661,-0.036614,35.063748
2024-01-16 09:32:20.259,B24-00013,-0.026999,0.063624,-4.157305
2024-01-16 09:32:20.359,B24-00013,0.011318,-0.044016,-54.889566
2024-01-16 09:32:20.459,B24-00013,0.026872,-0.055619,-97.15296
2024-01-16 09:32:20.559,B24-00013,0.000828,0.008549,-105.39855
2024-01-16 09:32:20.659,B24-00013,-0.077237,-0.054268,-110.86966
2024-01-16 22:19:58.772,B24-00014,-0.162992,-0.057036,30.009512
2024-01-16 22:19:58.872,B24-00014,0.03586,0.161401,93.590628
2024-01-16 22:19:58.972,B24-00014,0.078344,0.09956,147.38824
2024-01-16 22:19:59.072,B24-00014,-0.066898,-0.23753,190.99095
2024-01-16 22:19:59.172,B24-00014,0.086394,-0.183852,188.40637
2024-01-16 22:19:59.272,B24-00014,-0.005534,-0.065767,159.58585
2024-01-16 22:19:59.372,B24-00014,-0.074346,0.033586,113.5434
2024-01-16 22:19:59.472,B24-00014,-0.000345,0.250263,51.90838
2024-01-16 22:19:59.572,B24-00014,-0.095315,0.043009,-10.627867
2024-01-16 22:19:59.672,B24-00014,-0.038401,-0.143934,-77.934394
2024-01-16 22:19:59.772,B24-00014,-0.019226,-0.106684,-133.86275
2024-01-16 22:19:59.872,B24-00014,-0.029398,-0.044388,-183.43355
2024-01-16 22:19:59.972,B24-00014,0.055286,0.153896,-196.01014
2024-01-16 22:20:00.072,B24-00014,-0.019305,0.145779,-171.02875
2024-01-16 22:20:00.172,B24-00014,-0.024732,-0.085964,-131.93061
2024-01-16 22:20:00.272,B24-00014,0.061246,-0.131888,-71.944484
2024-01-16 22:20:00.372,B24-00014,-0.001798,-0.038734,-9.508492
2024-01-16 22:20:00.472,B24-00014,0.033499,0.124685,58.990724
2024-01-16 22:20:00.572,B24-00014,0.081739,0.246006,119.69198
2024-01-16 22:20:00.672,B24-00014,-0.10165,0.041658,173.2259
2024-01-16 22:20:00.772,B24-00014,0.018808,-0.11773,202.86968
2024-01-16 22:20:00.872,B24-00014,0.136689,-0.04818,184.87015
2024-01-16 22:20:00.972,B24-00014,-0.052525,-0.070796,150.12326
2024-01-16 22:20:01.072,B24-00014,0.065958,0.114591,94.747197
2024-01-16 22:20:01.172,B24-00014,0.108521,0.226705,31.128649
2024-01-16 22:20:01.272,B24-00014,-0.024266,-0.050564,-36.015753
2024-01-16 22:20:01.372,B24-00014,0.084634,-0.094695,-101.59827
2024-01-16 22:20:01.472,B24-00014,0.030944,-0.046523,-156.03008
2024-01-16 22:20:01.572,B24-00014,-0.073903,-0.016448,-198.20073
2024-01-16 22:20:01.672,B24-00014,0.073485,0.205497,-193.29836
2024-01-16 22:20:01.772,B24-00014,0.113403,0.172141,-162.5525
2024-01-16 22:20:01.872,B24-00014,0.050075,-0.068911,-114.81072
2024-01-16 22:20:01.972,B24-00014,0.045193,-0.134715,-51.766998
2024-01-16 22:20:02.072,B24-00014,-0.011131,-0.056014,12.174846
2024-01-16 22:20:02.172,B24-00014,-0.043465,0.074628,80.603728
2024-01-16 22:20:02.272,B24-00014,0.017616,0.148072,137.99371
